Date,Symbol,Expiry,Option Type,Strike Price,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Premium Turnover,Open Interest,Change in OI,Underlying
2018-05-02,NIFTY,2018-05-31,CE,11800.0,1.15,1.15,0.75,0.95,0.95,0.95,20,17701000.0,1000.0,15150,300,10718.05
2018-05-02,NIFTY,2018-05-31,PE,11800.0,0.0,0.0,0.0,1145.0,1145.0,1021.1,0,0.0,0.0,975,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,11850.0,0.0,0.0,0.0,1.95,1.95,0.25,0,0.0,0.0,75,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,11850.0,0.0,0.0,0.0,1262.05,0.0,1070.7,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,11900.0,0.6,0.95,0.55,0.8,0.8,0.8,19,16958000.0,1000.0,4725,-300,10718.05
2018-05-02,NIFTY,2018-05-31,PE,11900.0,0.0,0.0,0.0,1247.85,1245.0,1120.35,0,0.0,0.0,975,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,11950.0,0.0,0.0,0.0,25.1,0.0,0.1,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,11950.0,0.0,0.0,0.0,1261.25,0.0,1170.05,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,12000.0,0.75,0.8,0.7,0.75,0.7,0.75,10428,9385782000.0,582000.0,740250,-119400,10718.05
2018-05-02,NIFTY,2018-05-31,PE,12000.0,1218.2,1280.0,1208.0,1244.05,1242.0,1244.05,939,931883000.0,86783000.0,1512975,19200,10718.05
2018-05-02,NIFTY,2018-05-31,CE,12050.0,0.0,0.0,0.0,25.75,0.0,0.05,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,12050.0,0.0,0.0,0.0,1270.55,0.0,1269.45,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,12100.0,0.6,0.7,0.55,0.6,0.65,0.6,317,287693000.0,15000.0,39975,750,10718.05
2018-05-02,NIFTY,2018-05-31,PE,12100.0,1318.85,1376.55,1318.85,1341.0,1341.0,1341.0,29,29217000.0,2899000.0,47550,225,10718.05
2018-05-02,NIFTY,2018-05-31,CE,12150.0,0.0,0.0,0.0,0.05,0.0,0.05,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,12150.0,0.0,0.0,0.0,1383.75,0.0,1368.9,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,12200.0,0.6,0.6,0.35,0.4,0.4,0.4,11,10065000.0,0.0,2475,150,10718.05
2018-05-02,NIFTY,2018-05-31,PE,12200.0,1423.35,1447.0,1423.35,1441.0,1435.0,1441.0,3,3068000.0,323000.0,1275,225,10718.05
